TeilnehmerId	Anmeldename	Aufgabe in HV	ItemId	Antwort	JF	LS	JF_LS	final	Notiz
1721	72457_HV	2	1	shengwuhuaxue	0	0	0	0	
949	96365_HV	2	1	shengwu	0	1	0	0	
2053	43760_HV	2	1	shengwu huaxue	0	0	0	0	
1817	TDI012_HV	2	1	shengwuhuaxu	0	0	0	0	
1973	10968_HV	2	1	shengwuhuahua	1	0	0	0	
241	41404_HV	2	2	<xueshengzuoye	0	0	0	0	
249	13731_HV	2	2	luanma	0	0	0	0	
1729	01998_HV	2	2	gongzuo	0	0	0	0	
441	32809_HV	2	2	kexue	0	1	0	0	
1629	UOL021_HV	2	2	gonzuorenyuan	0	0	0	0	
245	36176_HV	2	3	shiyanshi	1	1	1	1	
253	17756_HV	2	3	shiyanshi	1	1	1	1	
261	31369_HV	2	3	shiyanshi	1	1	1	1	
281	81105_HV	2	3	shiyanshi	1	1	1	1	
441	32809_HV	2	3	shiyanshi	1	1	1	1	
1633	UOL022_HV	2	4	zaiwulilou	0	1	0	0	
873	67988_HV	2	4	shiyanshi	0	0	0	0	
1937	72544_HV	2	4	Musikgebäude	0	0	0	0	
993	12197_HV	2	4	O	0	0	0	0	
905	91331_HV	2	4	Oh	0	0	0	0	
977	35713_HV	4	1	"baisede jusede"	0	0	0	0	
229	04167_HV	4	1	xiang wangluo yiyang	0	0	0	0	
697	29126_HV	4	1	wangluo	0	0	0	0	
1841	TDI018_HV	4	1	wangluo	0	0	0	0	
449	46126_HV	4	1	xiang yizhang wang yiyang	0	0	0	0	
245	36176_HV	4	2	"changshijian tengtong"	1	1	1	1	
673	73815_HV	4	2	"changshijian tengtong gongneng queshi"	1	1	1	1	
569	66483_HV	4	2	"jirou teng"	1	1	1	1	
2093	60098_HV	4	2	"jirou gongneng queshi"	1	1	1	1	
621	84564_HV	4	2		8	8	8	8	"wufadenglu"
